date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Mon Mar 15 2021,San Antonio Spurs,109,Detroit Pistons,99,Box Score,Little Caesars Arena
Mon Mar 15 2021,Los Angeles Clippers,109,Dallas Mavericks,99,Box Score,American Airlines Center
Mon Mar 15 2021,Indiana Pacers,106,Denver Nuggets,121,Box Score,Ball Arena
Mon Mar 15 2021,Memphis Grizzlies,99,Phoenix Suns,122,Box Score,Phoenix Suns Arena
Mon Mar 15 2021,Los Angeles Lakers,128,Golden State Warriors,97,Box Score,Chase Center
Tue Mar 16 2021,Utah Jazz,117,Boston Celtics,109,Box Score,TD Garden
Tue Mar 16 2021,Oklahoma City Thunder,102,Chicago Bulls,123,Box Score,United Center
Tue Mar 16 2021,Atlanta Hawks,119,Houston Rockets,107,Box Score,Toyota Center
Tue Mar 16 2021,Cleveland Cavaliers,98,Miami Heat,113,Box Score,AmericanAirlines Arena
Tue Mar 16 2021,New York Knicks,96,Philadelphia 76ers,99,Box Score,Wells Fargo Center
Tue Mar 16 2021,New Orleans Pelicans,124,Portland Trail Blazers,125,Box Score,Moda Center
Tue Mar 16 2021,Minnesota Timberwolves,121,Los Angeles Lakers,137,Box Score,STAPLES Center
Wed Mar 17 2021,Toronto Raptors,112,Detroit Pistons,116,Box Score,Little Caesars Arena
Wed Mar 17 2021,Brooklyn Nets,124,Indiana Pacers,115,Box Score,Bankers Life Fieldhouse
Wed Mar 17 2021,Milwaukee Bucks,109,Philadelphia 76ers,105,Box Score,Wells Fargo Center
Wed Mar 17 2021,Sacramento Kings,121,Washington Wizards,119,Box Score,Capital One Arena
Wed Mar 17 2021,San Antonio Spurs,106,Chicago Bulls,99,Box Score,United Center
Wed Mar 17 2021,Boston Celtics,110,Cleveland Cavaliers,117,Box Score,Rocket Mortgage Fieldhouse
Wed Mar 17 2021,Golden State Warriors,108,Houston Rockets,94,Box Score,Toyota Center
Wed Mar 17 2021,Charlotte Hornets,104,Denver Nuggets,129,Box Score,Ball Arena
Wed Mar 17 2021,Miami Heat,85,Memphis Grizzlies,89,Box Score,FedEx Forum
Wed Mar 17 2021,Los Angeles Clippers,89,Dallas Mavericks,105,Box Score,American Airlines Center
Thu Mar 18 2021,Utah Jazz,122,Washington Wizards,131,Box Score,Capital One Arena
Thu Mar 18 2021,Oklahoma City Thunder,93,Atlanta Hawks,116,Box Score,State Farm Arena
Thu Mar 18 2021,Orlando Magic,93,New York Knicks,94,Box Score,Madison Square Garden (IV)
Thu Mar 18 2021,Minnesota Timberwolves,123,Phoenix Suns,119,Box Score,Phoenix Suns Arena
Thu Mar 18 2021,New Orleans Pelicans,93,Portland Trail Blazers,101,Box Score,Moda Center
Thu Mar 18 2021,Charlotte Hornets,105,Los Angeles Lakers,116,Box Score,STAPLES Center
Fri Mar 19 2021,Sacramento Kings,107,Boston Celtics,96,Box Score,TD Garden
Fri Mar 19 2021,San Antonio Spurs,116,Cleveland Cavaliers,110,Box Score,Rocket Mortgage Fieldhouse
Fri Mar 19 2021,Detroit Pistons,113,Houston Rockets,100,Box Score,Toyota Center
Fri Mar 19 2021,Golden State Warriors,116,Memphis Grizzlies,103,Box Score,FedEx Forum
Fri Mar 19 2021,Indiana Pacers,137,Miami Heat,110,Box Score,AmericanAirlines Arena
Fri Mar 19 2021,Brooklyn Nets,113,Orlando Magic,121,Box Score,Amway Center
Fri Mar 19 2021,Utah Jazz,115,Toronto Raptors,112,Box Score,Amalie Arena
Fri Mar 19 2021,Chicago Bulls,127,Denver Nuggets,131,Box Score,Ball Arena
Fri Mar 19 2021,Minnesota Timberwolves,101,Phoenix Suns,113,Box Score,Phoenix Suns Arena
Fri Mar 19 2021,Dallas Mavericks,119,Portland Trail Blazers,125,Box Score,Moda Center
Sat Mar 20 2021,Atlanta Hawks,99,Los Angeles Lakers,94,Box Score,STAPLES Center
Sat Mar 20 2021,Golden State Warriors,103,Memphis Grizzlies,111,Box Score,FedEx Forum
Sat Mar 20 2021,Sacramento Kings,105,Philadelphia 76ers,129,Box Score,Wells Fargo Center
Sat Mar 20 2021,San Antonio Spurs,113,Milwaukee Bucks,120,Box Score,Fiserv Forum
Sat Mar 20 2021,Charlotte Hornets,98,Los Angeles Clippers,125,Box Score,STAPLES Center
Sun Mar 21 2021,Indiana Pacers,109,Miami Heat,106,Box Score,AmericanAirlines Arena
Sun Mar 21 2021,Oklahoma City Thunder,114,Houston Rockets,112,Box Score,Toyota Center
Sun Mar 21 2021,New Orleans Pelicans,113,Denver Nuggets,108,Box Score,Ball Arena
Sun Mar 21 2021,Orlando Magic,96,Boston Celtics,112,Box Score,TD Garden
Sun Mar 21 2021,Washington Wizards,106,Brooklyn Nets,113,Box Score,Barclays Center
Sun Mar 21 2021,Toronto Raptors,105,Cleveland Cavaliers,116,Box Score,Rocket Mortgage Fieldhouse
Sun Mar 21 2021,Chicago Bulls,100,Detroit Pistons,86,Box Score,Little Caesars Arena
Sun Mar 21 2021,Philadelphia 76ers,101,New York Knicks,100,Box Score,Madison Square Garden (IV)
Sun Mar 21 2021,Los Angeles Lakers,94,Phoenix Suns,111,Box Score,Phoenix Suns Arena
Sun Mar 21 2021,Dallas Mavericks,132,Portland Trail Blazers,92,Box Score,Moda Center
Mon Mar 22 2021,Sacramento Kings,119,Cleveland Cavaliers,105,Box Score,Rocket Mortgage Fieldhouse
Mon Mar 22 2021,Oklahoma City Thunder,112,Minnesota Timberwolves,103,Box Score,Target Center
Mon Mar 22 2021,Charlotte Hornets,100,San Antonio Spurs,97,Box Score,AT&T Center
Mon Mar 22 2021,Utah Jazz,120,Chicago Bulls,95,Box Score,United Center
Mon Mar 22 2021,Toronto Raptors,99,Houston Rockets,117,Box Score,Toyota Center
Mon Mar 22 2021,Boston Celtics,126,Memphis Grizzlies,132,Box Score,FedEx Forum
Mon Mar 22 2021,Indiana Pacers,113,Milwaukee Bucks,140,Box Score,Fiserv Forum
Mon Mar 22 2021,Atlanta Hawks,110,Los Angeles Clippers,119,Box Score,STAPLES Center
Tue Mar 23 2021,Denver Nuggets,110,Orlando Magic,99,Box Score,Amway Center
Tue Mar 23 2021,Los Angeles Lakers,111,New Orleans Pelicans,128,Box Score,Smoothie King Center
Tue Mar 23 2021,Washington Wizards,113,New York Knicks,131,Box Score,Madison Square Garden (IV)
Tue Mar 23 2021,Phoenix Suns,110,Miami Heat,100,Box Score,AmericanAirlines Arena
Tue Mar 23 2021,Philadelphia 76ers,108,Golden State Warriors,98,Box Score,Chase Center
Tue Mar 23 2021,Brooklyn Nets,116,Portland Trail Blazers,112,Box Score,Moda Center
Wed Mar 24 2021,Detroit Pistons,111,Indiana Pacers,116,Box Score,Bankers Life Fieldhouse
Wed Mar 24 2021,Boston Celtics,119,Milwaukee Bucks,121,Box Score,Fiserv Forum
Wed Mar 24 2021,Denver Nuggets,111,Toronto Raptors,135,Box Score,Amalie Arena
Wed Mar 24 2021,Cleveland Cavaliers,103,Chicago Bulls,94,Box Score,United Center
Wed Mar 24 2021,Charlotte Hornets,122,Houston Rockets,97,Box Score,Toyota Center
Wed Mar 24 2021,Dallas Mavericks,128,Minnesota Timberwolves,108,Box Score,Target Center
Wed Mar 24 2021,Memphis Grizzlies,116,Oklahoma City Thunder,107,Box Score,Chesapeake Energy Arena
Wed Mar 24 2021,Phoenix Suns,111,Orlando Magic,112,Box Score,Amway Center
Wed Mar 24 2021,Los Angeles Clippers,134,San Antonio Spurs,101,Box Score,AT&T Center
Wed Mar 24 2021,Atlanta Hawks,108,Sacramento Kings,110,Box Score,Golden 1 Center
Wed Mar 24 2021,Brooklyn Nets,88,Utah Jazz,118,Box Score,Vivint Smart Home Arena
Thu Mar 25 2021,Portland Trail Blazers,125,Miami Heat,122,Box Score,AmericanAirlines Arena
Thu Mar 25 2021,Washington Wizards,102,New York Knicks,106,Box Score,Madison Square Garden (IV)
Thu Mar 25 2021,Los Angeles Clippers,98,San Antonio Spurs,85,Box Score,AT&T Center
Thu Mar 25 2021,Philadelphia 76ers,109,Los Angeles Lakers,101,Box Score,STAPLES Center
Thu Mar 25 2021,Golden State Warriors,119,Sacramento Kings,141,Box Score,Golden 1 Center
Fri Mar 26 2021,Brooklyn Nets,113,Detroit Pistons,111,Box Score,Little Caesars Arena
Fri Mar 26 2021,Boston Celtics,122,Milwaukee Bucks,114,Box Score,Fiserv Forum
Fri Mar 26 2021,Phoenix Suns,104,Toronto Raptors,100,Box Score,Amalie Arena
Fri Mar 26 2021,Miami Heat,105,Charlotte Hornets,110,Box Score,Spectrum Center
Fri Mar 26 2021,Houston Rockets,101,Minnesota Timberwolves,107,Box Score,Target Center
Fri Mar 26 2021,Denver Nuggets,113,New Orleans Pelicans,108,Box Score,Smoothie King Center
Fri Mar 26 2021,Portland Trail Blazers,112,Orlando Magic,105,Box Score,Amway Center
Fri Mar 26 2021,Indiana Pacers,109,Dallas Mavericks,94,Box Score,American Airlines Center
Fri Mar 26 2021,Memphis Grizzlies,114,Utah Jazz,117,Box Score,Vivint Smart Home Arena
Fri Mar 26 2021,Atlanta Hawks,124,Golden State Warriors,108,Box Score,Chase Center
Fri Mar 26 2021,Cleveland Cavaliers,86,Los Angeles Lakers,100,Box Score,STAPLES Center
Sat Mar 27 2021,New York Knicks,102,Milwaukee Bucks,96,Box Score,Fiserv Forum
Sat Mar 27 2021,Houston Rockets,129,Minnesota Timberwolves,107,Box Score,Target Center
Sat Mar 27 2021,Detroit Pistons,92,Washington Wizards,106,Box Score,Capital One Arena
Sat Mar 27 2021,Chicago Bulls,104,San Antonio Spurs,120,Box Score,AT&T Center
Sat Mar 27 2021,Dallas Mavericks,103,New Orleans Pelicans,112,Box Score,Smoothie King Center
Sat Mar 27 2021,Boston Celtics,111,Oklahoma City Thunder,94,Box Score,Chesapeake Energy Arena
Sat Mar 27 2021,Memphis Grizzlies,110,Utah Jazz,126,Box Score,Vivint Smart Home Arena
Sat Mar 27 2021,Philadelphia 76ers,112,Los Angeles Clippers,122,Box Score,STAPLES Center
Sat Mar 27 2021,Cleveland Cavaliers,98,Sacramento Kings,100,Box Score,Golden 1 Center
Sun Mar 28 2021,Phoenix Suns,101,Charlotte Hornets,97,Box Score,Spectrum Center
Sun Mar 28 2021,Portland Trail Blazers,122,Toronto Raptors,117,Box Score,Amalie Arena
Sun Mar 28 2021,Atlanta Hawks,102,Denver Nuggets,126,Box Score,Ball Arena
Sun Mar 28 2021,Orlando Magic,93,Los Angeles Lakers,96,Box Score,STAPLES Center
Mon Mar 29 2021,Indiana Pacers,124,Washington Wizards,132,Box Score,Capital One Arena
Mon Mar 29 2021,New Orleans Pelicans,115,Boston Celtics,109,Box Score,TD Garden
Mon Mar 29 2021,Minnesota Timberwolves,107,Brooklyn Nets,112,Box Score,Barclays Center
Mon Mar 29 2021,Miami Heat,98,New York Knicks,88,Box Score,Madison Square Garden (IV)
Mon Mar 29 2021,Toronto Raptors,104,Detroit Pistons,118,Box Score,Little Caesars Arena
Mon Mar 29 2021,Memphis Grizzlies,120,Houston Rockets,110,Box Score,Toyota Center
Mon Mar 29 2021,Dallas Mavericks,127,Oklahoma City Thunder,106,Box Score,Chesapeake Energy Arena
Mon Mar 29 2021,Sacramento Kings,132,San Antonio Spurs,115,Box Score,AT&T Center
Mon Mar 29 2021,Cleveland Cavaliers,75,Utah Jazz,114,Box Score,Vivint Smart Home Arena
Mon Mar 29 2021,Chicago Bulls,102,Golden State Warriors,116,Box Score,Chase Center
Mon Mar 29 2021,Milwaukee Bucks,105,Los Angeles Clippers,129,Box Score,STAPLES Center
Tue Mar 30 2021,Charlotte Hornets,114,Washington Wizards,104,Box Score,Capital One Arena
Tue Mar 30 2021,Philadelphia 76ers,95,Denver Nuggets,104,Box Score,Ball Arena
Tue Mar 30 2021,Orlando Magic,103,Los Angeles Clippers,96,Box Score,STAPLES Center
Tue Mar 30 2021,Atlanta Hawks,110,Phoenix Suns,117,Box Score,Phoenix Suns Arena
Wed Mar 31 2021,Portland Trail Blazers,124,Detroit Pistons,101,Box Score,Little Caesars Arena
Wed Mar 31 2021,Miami Heat,92,Indiana Pacers,87,Box Score,Bankers Life Fieldhouse
Wed Mar 31 2021,Dallas Mavericks,113,Boston Celtics,108,Box Score,TD Garden
Wed Mar 31 2021,Houston Rockets,108,Brooklyn Nets,120,Box Score,Barclays Center
Wed Mar 31 2021,Utah Jazz,111,Memphis Grizzlies,107,Box Score,FedEx Forum
Wed Mar 31 2021,New York Knicks,101,Minnesota Timberwolves,102,Box Score,Target Center
Wed Mar 31 2021,Toronto Raptors,103,Oklahoma City Thunder,113,Box Score,Chesapeake Energy Arena
Wed Mar 31 2021,Sacramento Kings,106,San Antonio Spurs,120,Box Score,AT&T Center
Wed Mar 31 2021,Milwaukee Bucks,112,Los Angeles Lakers,97,Box Score,STAPLES Center
Wed Mar 31 2021,Chicago Bulls,116,Phoenix Suns,121,Box Score,Phoenix Suns Arena
Thu Apr 1 2021,Philadelphia 76ers,114,Cleveland Cavaliers,94,Box Score,Rocket Mortgage Fieldhouse
Thu Apr 1 2021,Washington Wizards,91,Detroit Pistons,120,Box Score,Little Caesars Arena
Thu Apr 1 2021,Charlotte Hornets,89,Brooklyn Nets,111,Box Score,Barclays Center
Thu Apr 1 2021,Golden State Warriors,109,Miami Heat,116,Box Score,AmericanAirlines Arena
Thu Apr 1 2021,Orlando Magic,115,New Orleans Pelicans,110,Box Score,Smoothie King Center
Thu Apr 1 2021,Atlanta Hawks,134,San Antonio Spurs,129,Box Score,AT&T Center
Thu Apr 1 2021,Denver Nuggets,101,Los Angeles Clippers,94,Box Score,STAPLES Center
Fri Apr 2 2021,Golden State Warriors,77,Toronto Raptors,130,Box Score,Amalie Arena
Fri Apr 2 2021,Houston Rockets,102,Boston Celtics,118,Box Score,TD Garden
Fri Apr 2 2021,Dallas Mavericks,99,New York Knicks,86,Box Score,Madison Square Garden (IV)
Fri Apr 2 2021,Charlotte Hornets,114,Indiana Pacers,97,Box Score,Bankers Life Fieldhouse
Fri Apr 2 2021,Minnesota Timberwolves,108,Memphis Grizzlies,120,Box Score,FedEx Forum
Fri Apr 2 2021,Atlanta Hawks,126,New Orleans Pelicans,103,Box Score,Smoothie King Center
Fri Apr 2 2021,Chicago Bulls,106,Utah Jazz,113,Box Score,Vivint Smart Home Arena
Fri Apr 2 2021,Oklahoma City Thunder,103,Phoenix Suns,140,Box Score,Phoenix Suns Arena
Fri Apr 2 2021,Milwaukee Bucks,127,Portland Trail Blazers,109,Box Score,Moda Center
Fri Apr 2 2021,Los Angeles Lakers,115,Sacramento Kings,94,Box Score,Golden 1 Center
Sat Apr 3 2021,Dallas Mavericks,109,Washington Wizards,87,Box Score,Capital One Arena
Sat Apr 3 2021,New York Knicks,125,Detroit Pistons,81,Box Score,Little Caesars Arena
Sat Apr 3 2021,Cleveland Cavaliers,101,Miami Heat,115,Box Score,AmericanAirlines Arena
Sat Apr 3 2021,Minnesota Timberwolves,113,Philadelphia 76ers,122,Box Score,Wells Fargo Center
Sat Apr 3 2021,Indiana Pacers,139,San Antonio Spurs,133,Box Score,AT&T Center
Sat Apr 3 2021,Orlando Magic,91,Utah Jazz,137,Box Score,Vivint Smart Home Arena
Sat Apr 3 2021,Oklahoma City Thunder,85,Portland Trail Blazers,133,Box Score,Moda Center
Sat Apr 3 2021,Milwaukee Bucks,129,Sacramento Kings,128,Box Score,Golden 1 Center
Sun Apr 4 2021,Brooklyn Nets,107,Chicago Bulls,115,Box Score,United Center
Sun Apr 4 2021,Los Angeles Lakers,86,Los Angeles Clippers,104,Box Score,STAPLES Center
Sun Apr 4 2021,Charlotte Hornets,86,Boston Celtics,116,Box Score,TD Garden
Sun Apr 4 2021,Memphis Grizzlies,116,Philadelphia 76ers,100,Box Score,Wells Fargo Center
Sun Apr 4 2021,Golden State Warriors,111,Atlanta Hawks,117,Box Score,State Farm Arena
Sun Apr 4 2021,New Orleans Pelicans,122,Houston Rockets,115,Box Score,Toyota Center
Sun Apr 4 2021,Orlando Magic,109,Denver Nuggets,119,Box Score,Ball Arena
Mon Apr 5 2021,New York Knicks,112,Brooklyn Nets,114,Box Score,Barclays Center
Mon Apr 5 2021,Utah Jazz,103,Dallas Mavericks,111,Box Score,American Airlines Center
Mon Apr 5 2021,Sacramento Kings,106,Minnesota Timberwolves,116,Box Score,Target Center
Mon Apr 5 2021,Detroit Pistons,132,Oklahoma City Thunder,108,Box Score,Chesapeake Energy Arena
Mon Apr 5 2021,Cleveland Cavaliers,125,San Antonio Spurs,101,Box Score,AT&T Center
Mon Apr 5 2021,Washington Wizards,101,Toronto Raptors,103,Box Score,Amalie Arena
Mon Apr 5 2021,Phoenix Suns,133,Houston Rockets,130,Box Score,Toyota Center
Tue Apr 6 2021,Chicago Bulls,113,Indiana Pacers,97,Box Score,Bankers Life Fieldhouse
Tue Apr 6 2021,New Orleans Pelicans,107,Atlanta Hawks,123,Box Score,State Farm Arena
Tue Apr 6 2021,Philadelphia 76ers,106,Boston Celtics,96,Box Score,TD Garden
Tue Apr 6 2021,Los Angeles Lakers,110,Toronto Raptors,101,Box Score,Amalie Arena
Tue Apr 6 2021,Memphis Grizzlies,124,Miami Heat,112,Box Score,AmericanAirlines Arena
Tue Apr 6 2021,Detroit Pistons,119,Denver Nuggets,134,Box Score,Ball Arena
Tue Apr 6 2021,Milwaukee Bucks,121,Golden State Warriors,122,Box Score,Chase Center
Tue Apr 6 2021,Portland Trail Blazers,116,Los Angeles Clippers,133,Box Score,STAPLES Center
Wed Apr 7 2021,Minnesota Timberwolves,137,Indiana Pacers,141,Box Score,Bankers Life Fieldhouse
Wed Apr 7 2021,Washington Wizards,131,Orlando Magic,116,Box Score,Amway Center
Wed Apr 7 2021,New York Knicks,99,Boston Celtics,101,Box Score,TD Garden
Wed Apr 7 2021,New Orleans Pelicans,111,Brooklyn Nets,139,Box Score,Barclays Center
Wed Apr 7 2021,Memphis Grizzlies,131,Atlanta Hawks,113,Box Score,State Farm Arena
Wed Apr 7 2021,Dallas Mavericks,93,Houston Rockets,102,Box Score,Toyota Center
Wed Apr 7 2021,Charlotte Hornets,113,Oklahoma City Thunder,102,Box Score,Chesapeake Energy Arena
Wed Apr 7 2021,San Antonio Spurs,96,Denver Nuggets,106,Box Score,Ball Arena
Wed Apr 7 2021,Utah Jazz,113,Phoenix Suns,117,Box Score,Phoenix Suns Arena
Thu Apr 8 2021,Los Angeles Lakers,104,Miami Heat,110,Box Score,AmericanAirlines Arena
Thu Apr 8 2021,Chicago Bulls,122,Toronto Raptors,113,Box Score,Amalie Arena
Thu Apr 8 2021,Cleveland Cavaliers,129,Oklahoma City Thunder,102,Box Score,Chesapeake Energy Arena
Thu Apr 8 2021,Milwaukee Bucks,101,Dallas Mavericks,116,Box Score,American Airlines Center
Thu Apr 8 2021,Phoenix Suns,103,Los Angeles Clippers,113,Box Score,STAPLES Center
Thu Apr 8 2021,Detroit Pistons,113,Sacramento Kings,101,Box Score,Golden 1 Center
Thu Apr 8 2021,Portland Trail Blazers,103,Utah Jazz,122,Box Score,Vivint Smart Home Arena
Fri Apr 9 2021,Indiana Pacers,111,Orlando Magic,106,Box Score,Amway Center
Fri Apr 9 2021,Minnesota Timberwolves,136,Boston Celtics,145,Box Score,TD Garden
Fri Apr 9 2021,Memphis Grizzlies,129,New York Knicks,133,Box Score,Madison Square Garden (IV)
Fri Apr 9 2021,Chicago Bulls,108,Atlanta Hawks,120,Box Score,State Farm Arena
Fri Apr 9 2021,Philadelphia 76ers,94,New Orleans Pelicans,101,Box Score,Smoothie King Center
Fri Apr 9 2021,San Antonio Spurs,119,Denver Nuggets,121,Box Score,Ball Arena
Fri Apr 9 2021,Charlotte Hornets,127,Milwaukee Bucks,119,Box Score,Fiserv Forum
Fri Apr 9 2021,Washington Wizards,110,Golden State Warriors,107,Box Score,Chase Center
Fri Apr 9 2021,Houston Rockets,109,Los Angeles Clippers,126,Box Score,STAPLES Center
Sat Apr 10 2021,Toronto Raptors,135,Cleveland Cavaliers,115,Box Score,Rocket Mortgage Fieldhouse
Sat Apr 10 2021,Los Angeles Lakers,126,Brooklyn Nets,101,Box Score,Barclays Center
Sat Apr 10 2021,Philadelphia 76ers,117,Oklahoma City Thunder,93,Box Score,Chesapeake Energy Arena
Sat Apr 10 2021,Sacramento Kings,112,Utah Jazz,128,Box Score,Vivint Smart Home Arena
Sat Apr 10 2021,Houston Rockets,109,Golden State Warriors,125,Box Score,Chase Center
Sat Apr 10 2021,Washington Wizards,106,Phoenix Suns,134,Box Score,Phoenix Suns Arena
Sat Apr 10 2021,Detroit Pistons,103,Portland Trail Blazers,118,Box Score,Moda Center
Sun Apr 11 2021,Atlanta Hawks,105,Charlotte Hornets,101,Box Score,Spectrum Center
Sun Apr 11 2021,Boston Celtics,105,Denver Nuggets,87,Box Score,Ball Arena
Sun Apr 11 2021,New Orleans Pelicans,116,Cleveland Cavaliers,109,Box Score,Rocket Mortgage Fieldhouse
Sun Apr 11 2021,Milwaukee Bucks,124,Orlando Magic,87,Box Score,Amway Center
Sun Apr 11 2021,San Antonio Spurs,119,Dallas Mavericks,117,Box Score,American Airlines Center
Sun Apr 11 2021,Indiana Pacers,132,Memphis Grizzlies,125,Box Score,FedEx Forum
Sun Apr 11 2021,Chicago Bulls,117,Minnesota Timberwolves,121,Box Score,Target Center
Sun Apr 11 2021,Toronto Raptors,96,New York Knicks,102,Box Score,Madison Square Garden (IV)
Sun Apr 11 2021,Detroit Pistons,124,Los Angeles Clippers,131,Box Score,STAPLES Center
Sun Apr 11 2021,Miami Heat,107,Portland Trail Blazers,98,Box Score,Moda Center
Mon Apr 12 2021,Philadelphia 76ers,113,Dallas Mavericks,95,Box Score,American Airlines Center
Mon Apr 12 2021,Los Angeles Lakers,96,New York Knicks,111,Box Score,Madison Square Garden (IV)
Mon Apr 12 2021,San Antonio Spurs,120,Orlando Magic,97,Box Score,Amway Center
Mon Apr 12 2021,Chicago Bulls,90,Memphis Grizzlies,101,Box Score,FedEx Forum
Mon Apr 12 2021,Sacramento Kings,110,New Orleans Pelicans,117,Box Score,Smoothie King Center
Mon Apr 12 2021,Washington Wizards,125,Utah Jazz,121,Box Score,Vivint Smart Home Arena
Mon Apr 12 2021,Denver Nuggets,107,Golden State Warriors,116,Box Score,Chase Center
Mon Apr 12 2021,Houston Rockets,120,Phoenix Suns,126,Box Score,Phoenix Suns Arena
Tue Apr 13 2021,Brooklyn Nets,127,Minnesota Timberwolves,97,Box Score,Target Center
Tue Apr 13 2021,Los Angeles Clippers,126,Indiana Pacers,115,Box Score,Bankers Life Fieldhouse
Tue Apr 13 2021,Atlanta Hawks,108,Toronto Raptors,103,Box Score,Amalie Arena
Tue Apr 13 2021,Los Angeles Lakers,101,Charlotte Hornets,93,Box Score,Spectrum Center
Tue Apr 13 2021,Oklahoma City Thunder,96,Utah Jazz,106,Box Score,Vivint Smart Home Arena
Tue Apr 13 2021,Miami Heat,86,Phoenix Suns,106,Box Score,Phoenix Suns Arena
Tue Apr 13 2021,Boston Celtics,116,Portland Trail Blazers,115,Box Score,Moda Center
Wed Apr 14 2021,Milwaukee Bucks,130,Minnesota Timberwolves,105,Box Score,Target Center
Wed Apr 14 2021,Cleveland Cavaliers,103,Charlotte Hornets,90,Box Score,Spectrum Center
Wed Apr 14 2021,Brooklyn Nets,117,Philadelphia 76ers,123,Box Score,Wells Fargo Center
Wed Apr 14 2021,San Antonio Spurs,112,Toronto Raptors,117,Box Score,Amalie Arena
Wed Apr 14 2021,Orlando Magic,115,Chicago Bulls,106,Box Score,United Center
Wed Apr 14 2021,Los Angeles Clippers,100,Detroit Pistons,98,Box Score,Little Caesars Arena
Wed Apr 14 2021,New York Knicks,116,New Orleans Pelicans,106,Box Score,Smoothie King Center
Wed Apr 14 2021,Indiana Pacers,132,Houston Rockets,124,Box Score,Toyota Center
Wed Apr 14 2021,Golden State Warriors,147,Oklahoma City Thunder,109,Box Score,Chesapeake Energy Arena
Wed Apr 14 2021,Dallas Mavericks,114,Memphis Grizzlies,113,Box Score,FedEx Forum
Wed Apr 14 2021,Miami Heat,106,Denver Nuggets,123,Box Score,Ball Arena
Wed Apr 14 2021,Washington Wizards,123,Sacramento Kings,111,Box Score,Golden 1 Center
Thu Apr 15 2021,Milwaukee Bucks,120,Atlanta Hawks,109,Box Score,State Farm Arena
Thu Apr 15 2021,Golden State Warriors,119,Cleveland Cavaliers,101,Box Score,Rocket Mortgage Fieldhouse
Thu Apr 15 2021,Boston Celtics,121,Los Angeles Lakers,113,Box Score,STAPLES Center
Thu Apr 15 2021,Sacramento Kings,114,Phoenix Suns,122,Box Score,Phoenix Suns Arena
Fri Apr 16 2021,Indiana Pacers,111,Utah Jazz,119,Box Score,Vivint Smart Home Arena
Fri Apr 16 2021,Oklahoma City Thunder,104,Detroit Pistons,110,Box Score,Little Caesars Arena
Fri Apr 16 2021,Los Angeles Clippers,103,Philadelphia 76ers,106,Box Score,Wells Fargo Center
Fri Apr 16 2021,New Orleans Pelicans,115,Washington Wizards,117,Box Score,Capital One Arena
Fri Apr 16 2021,Charlotte Hornets,115,Brooklyn Nets,130,Box Score,Barclays Center
Fri Apr 16 2021,Orlando Magic,102,Toronto Raptors,113,Box Score,Amalie Arena
Fri Apr 16 2021,Memphis Grizzlies,126,Chicago Bulls,115,Box Score,United Center
Fri Apr 16 2021,Denver Nuggets,128,Houston Rockets,99,Box Score,Toyota Center
Fri Apr 16 2021,Miami Heat,111,Minnesota Timberwolves,119,Box Score,Target Center
Fri Apr 16 2021,Portland Trail Blazers,107,San Antonio Spurs,106,Box Score,AT&T Center
Fri Apr 16 2021,New York Knicks,117,Dallas Mavericks,109,Box Score,American Airlines Center
Sat Apr 17 2021,Utah Jazz,115,Los Angeles Lakers,127,Box Score,STAPLES Center
Sat Apr 17 2021,Cleveland Cavaliers,96,Chicago Bulls,106,Box Score,United Center
Sat Apr 17 2021,Detroit Pistons,100,Washington Wizards,121,Box Score,Capital One Arena
Sat Apr 17 2021,Golden State Warriors,114,Boston Celtics,119,Box Score,TD Garden
Sat Apr 17 2021,Memphis Grizzlies,128,Milwaukee Bucks,115,Box Score,Fiserv Forum
Sat Apr 17 2021,San Antonio Spurs,111,Phoenix Suns,85,Box Score,Phoenix Suns Arena
Sun Apr 18 2021,Indiana Pacers,117,Atlanta Hawks,129,Box Score,State Farm Arena
Sun Apr 18 2021,New Orleans Pelicans,112,New York Knicks,122,Box Score,Madison Square Garden (IV)
Sun Apr 18 2021,Brooklyn Nets,107,Miami Heat,109,Box Score,AmericanAirlines Arena
Sun Apr 18 2021,Portland Trail Blazers,101,Charlotte Hornets,109,Box Score,Spectrum Center
Sun Apr 18 2021,Houston Rockets,114,Orlando Magic,110,Box Score,Amway Center
Sun Apr 18 2021,Oklahoma City Thunder,106,Toronto Raptors,112,Box Score,Amalie Arena
Sun Apr 18 2021,Sacramento Kings,121,Dallas Mavericks,107,Box Score,American Airlines Center
Sun Apr 18 2021,Minnesota Timberwolves,105,Los Angeles Clippers,124,Box Score,STAPLES Center
Mon Apr 19 2021,Cleveland Cavaliers,105,Detroit Pistons,109,Box Score,Little Caesars Arena
Mon Apr 19 2021,Chicago Bulls,102,Boston Celtics,96,Box Score,TD Garden
Mon Apr 19 2021,Golden State Warriors,107,Philadelphia 76ers,96,Box Score,Wells Fargo Center
Mon Apr 19 2021,San Antonio Spurs,109,Indiana Pacers,94,Box Score,Bankers Life Fieldhouse
Mon Apr 19 2021,Houston Rockets,91,Miami Heat,113,Box Score,AmericanAirlines Arena
Mon Apr 19 2021,Phoenix Suns,128,Milwaukee Bucks,127,Box Score,Fiserv Forum
Mon Apr 19 2021,Oklahoma City Thunder,107,Washington Wizards,119,Box Score,Capital One Arena
